filename,product_name,artist,category,macro_niche,micro_niche,nano_niche,keywords,design_style,reason
toonces_driving_school_-_est_1989_t-shirt_1.jpg,Toonces Driving School - Est. 1989 T-Shirt,Ink Agenda Gallery,Animals,Cats,Funny Cat,Toonces Driving Cat,Toonces; driving cat; funny cat; cat driving school; cat lover; vintage cat; retro cat; animal humor; SNL Toonces,vintage illustration,"The design features a cat driving a car, referencing the 'Toonces the Driving Cat' sketch from SNL, which fits the 'Funny Cat' micro-niche with a vintage illustration style."
cat_t-shirt_2.jpg,Cat T-Shirt,woahthesun,Animals,Cats,Black Cat,Stretching Cat with Moon and Stars,black cat; moon; stars; stretching cat; celestial cat; witchy cat; mystical cat; cat lover; pet owner; night sky,illustration,"The design features a black cat stretching under a full moon with stars, fitting the 'Black Cat' micro-niche and having a celestial, mystical aesthetic."
space_cat_t-shirt_3.jpg,SPACE CAT T-Shirt,toddart,Humor,Memes,Internet Meme,Nyan Cat Meme,Nyan Cat; meme; pixel art; rainbow cat; pop tart cat; internet culture; retro gaming; funny cat; space cat,pixel-art,"The design is a direct representation of the iconic Nyan Cat internet meme, which falls under the Internet Meme micro-niche."
reach_for_the_stars_-_funny_cat_butt_t-shirt_4.jpg,Reach For The Stars - Funny Cat Butt T-Shirt,Carrie Cantwell,Animals,Cats,Funny Cat,Funny Cat Butt Illustration,funny cat; cat butt; reach for the stars; humorous cat; black cat; cat lover; cute cat; playful cat; retro cat,illustration,"The design features a humorous illustration of a black cat in a funny pose with the text 'Reach for the Stars', fitting the 'Funny Cat' micro-niche."
brown_pitbull_night_t-shirt_5.jpg,Brown Pitbull Night T-Shirt,sagittariusgallery,Animals,Dogs,Pitbull,Pitbull Starry Night Art,pitbull; dog; starry night; van gogh style; dog lover; pet art; brown pitbull; impressionist dog; animal art; unique dog gift,illustration,"The design features a pitbull dog rendered in the distinctive style of Van Gogh's 'Starry Night', combining an animal subject with a famous art style."
vitamin_c_t-shirt_6.jpg,Vitamin C T-Shirt,productx,Music,Genres,Rock Music,Can Vitamin C Album Art,Can band; Vitamin C; I'm So Green; Krautrock; German rock; album art; retro music; vintage band; music fan,"graphic, retro, typography","The design features the album art for 'Vitamin C' by the band Can, which falls under the Rock Music genre, with a clear retro and graphic style."
yes_i_heard_you_line_art_australian_shepherd_dog_lovers_t-sh_7.jpg,Yes I Heard You Line Art Australian Shepherd Dog Lovers T-Shirt,Kelraa,Animals,Dogs,Dog Lover,Australian Shepherd Humor,Australian Shepherd; dog lover; dog mom; dog dad; funny dog; dog humor; herding dog; pet owner; line art dog; yes I herd you,line art,"The design features a line art illustration of an Australian Shepherd with a humorous pun, directly appealing to dog lovers, specifically those who appreciate this breed."
funshine_bear_t-shirt_8.jpg,Funshine Bear T-Shirt,Inkvi,Pop Culture,TV Shows,Cartoons,Care Bear Funshine Bear,Care Bear; Funshine Bear; cartoon bear; 80s cartoon; nostalgia; cute bear; sun bear; smiley sun; childhood; retro cartoon,cartoon,"The design features Funshine Bear from the Care Bears cartoon, which falls under the Cartoons micro-niche within TV Shows."
fart_squirrel_t-shirt_9.jpg,FART SQUIRREL T-Shirt,toddart,Animals,Wildlife,Skunk,Skunk Illustration,skunk; fart squirrel; wildlife; animal; funny animal; nature; woodland animal; striped skunk; stinky animal; rodent,hand-drawn,"The design features a hand-drawn illustration of a skunk, which is a wildlife animal, and the title uses a humorous nickname for it."
capybara_t-shirt_10.jpg,Capybara T-Shirt,littlemandyart,Animals,Wildlife,N/A,Capybara Illustration,capybara; cute capybara; animal lover; rodent; kawaii capybara; pet capybara; funny capybara; wildlife; south american animal,cartoon,"The design features a simple, cute cartoon illustration of a capybara, which falls under the 'Wildlife' macro niche, and is specifically a 'Capybara Illustration' at the nano level."
