filename,product_name,artist,price,predicted_category,confidence,method,source_category,scrape_date,product_url,image_url,top1_category,top1_score,top2_category,top2_score,top3_category,top3_score
toonces_driving_school_-_est_1989_t-shirt_1.jpg,Toonces Driving School - Est. 1989 T-Shirt,Ink Agenda Gallery,24,Vintage,0.6036,hybrid (image+text),Animals,2026-07-04,https://www.teepublic.com/t-shirt/76463312-toonces-driving-school-est-1989,"https://images.teepublic.com/derived/production/designs/76463312_0/1748016039/i_p:c_2e2e2e,s_630,q_90.jpg",Vintage,0.6036,Pets,0.2307,Animals,0.0270
cat_t-shirt_2.jpg,Cat T-Shirt,woahthesun,24,Animals,0.6007,hybrid (image+text),Animals,2026-07-04,https://www.teepublic.com/t-shirt/16692983-cat,"https://images.teepublic.com/derived/production/designs/16692983_0/1748016039/i_p:c_2e2e2e,s_630,q_90.jpg",Animals,0.6007,Pets,0.1753,Spiritual,0.0557
space_cat_t-shirt_3.jpg,SPACE CAT T-Shirt,toddart,24,Animals,0.4544,hybrid (image+text),Animals,2026-07-04,https://www.teepublic.com/t-shirt/41155192-space-cat,"https://images.teepublic.com/derived/production/designs/41155192_0/1748016039/i_p:c_2e2e2e,s_630,q_90.jpg",Animals,0.4544,Pets,0.1971,Gaming,0.1503
reach_for_the_stars_-_funny_cat_butt_t-shirt_4.jpg,Reach For The Stars - Funny Cat Butt T-Shirt,Carrie Cantwell,24,Pets,0.3604,hybrid (image+text),Animals,2026-07-04,https://www.teepublic.com/t-shirt/56050243-reach-for-the-stars-funny-cat-butt,"https://images.teepublic.com/derived/production/designs/56050243_0/1748016039/i_p:c_2e2e2e,s_630,q_90.jpg",Pets,0.3604,Animals,0.1962,Humor,0.1470
brown_pitbull_night_t-shirt_5.jpg,Brown Pitbull Night T-Shirt,sagittariusgallery,24,Art,0.5495,image only,Animals,2026-07-04,https://www.teepublic.com/t-shirt/34462435-brown-pitbull-night,"https://images.teepublic.com/derived/production/designs/34462435_0/1748016039/i_p:c_2e2e2e,s_630,q_90.jpg",Art,0.5495,Pets,0.1121,Animals,0.0854
vitamin_c_t-shirt_6.jpg,Vitamin C T-Shirt,productx,24,Uncertain - needs review,0.1579,image only,Animals,2026-07-04,https://www.teepublic.com/t-shirt/26042823-vitamin-c,"https://images.teepublic.com/derived/production/designs/26042823_0/1748016039/i_p:c_2e2e2e,s_630,q_90.jpg",Pop Culture,0.1579,Music,0.1537,Food,0.1302
yes_i_heard_you_line_art_australian_shepherd_dog_lovers_t-sh_7.jpg,Yes I Heard You Line Art Australian Shepherd Dog Lovers T-Shirt,Kelraa,24,Pets,0.4521,hybrid (image+text),Animals,2026-07-04,https://www.teepublic.com/t-shirt/89748737-yes-i-heard-you-line-art-australian-shepherd-dog-l,"https://images.teepublic.com/derived/production/designs/89748737_0/1748016039/i_p:c_2e2e2e,s_630,q_90.jpg",Pets,0.4521,Animals,0.2852,Art,0.2037
funshine_bear_t-shirt_8.jpg,Funshine Bear T-Shirt,Inkvi,24,Animals,0.4130,hybrid (image+text),Animals,2026-07-04,https://www.teepublic.com/t-shirt/77018442-funshine-bear,"https://images.teepublic.com/derived/production/designs/77018442_0/1748016039/i_p:c_2e2e2e,s_630,q_90.jpg",Animals,0.4130,Seasonal,0.2909,Nature,0.0763
fart_squirrel_t-shirt_9.jpg,FART SQUIRREL T-Shirt,toddart,24,Art,0.4230,hybrid (image+text),Animals,2026-07-04,https://www.teepublic.com/t-shirt/28209572-fart-squirrel,"https://images.teepublic.com/derived/production/designs/28209572_0/1748016039/i_p:c_2e2e2e,s_630,q_90.jpg",Art,0.4230,Animals,0.1682,Nature,0.0918
capybara_t-shirt_10.jpg,Capybara T-Shirt,littlemandyart,24,Food,0.4044,hybrid (image+text),Animals,2026-07-04,https://www.teepublic.com/t-shirt/19216677-capybara,"https://images.teepublic.com/derived/production/designs/19216677_0/1748016039/i_p:c_2e2e2e,s_630,q_90.jpg",Food,0.4044,Animals,0.3880,Pets,0.1070
